yeah,"[22, 13, 9, 2, 2, 28, 10, 44, 50, 55, 14, 37]"
six,"[2, 5, 5, 4, 2, 2, 1, 1, 3, 2, 6, 17, 4, 1, 4, 3, 2, 1, 1, 5, 2, 1, 6, 1, 5, 3, 2, 2, 2, 1, 2, 3, 5, 2, 4, 5, 2, 1, 1, 2, 8, 1, 2, 1, 3, 3, 2, 1, 4, 5, 8, 2, 2, 10, 1, 2, 1, 3, 2, 1, 5, 2, 1, 1, 5, 3, 3, 3, 1, 1, 2, 4, 1, 1, 2, 1, 1, 5, 2, 4, 1, 3, 1, 3, 4, 8, 3, 1, 1, 1, 2, 3, 1, 1, 2, 1, 5, 1, 1, 1, 3, 5, 1, 3, 1, 3, 2, 3, 4, 3, 2, 6, 3, 5, 1, 2, 3, 6, 3, 1, 1, 2, 2, 2, 2, 3, 2, 2, 1, 1, 3, 1, 2, 4, 2, 4, 1, 3, 1, 1, 4, 1, 3, 3, 1, 3, 1, 1, 2, 4, 2, 9, 4, 2, 1, 8, 6, 3, 2, 5, 1, 9, 2, 3, 2, 9, 6, 5, 2, 3, 3, 5, 2]"
andi,"[5, 13, 2, 3, 3, 1, 2, 4, 7, 4, 2, 7, 4, 2, 2, 3, 1, 1, 1, 1, 3, 1, 1, 2, 2, 4, 2, 1, 1, 2, 1, 4, 1, 1, 5, 1, 1, 1, 1, 2, 2, 1, 1, 4, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 4, 1, 2, 1, 2, 4, 2, 2, 1, 1, 1, 2, 1, 7, 5, 2, 1, 2, 1, 1, 2, 1, 3, 1, 7, 2, 1, 2, 3, 4, 11, 1, 3, 5, 6, 13, 11, 1, 9, 3, 3, 3, 2, 1, 3, 1, 10, 2, 1, 3, 2, 1, 5, 4, 5, 10, 21, 3, 13, 2, 6, 3, 4, 19, 2, 8, 8, 5, 7, 6, 3, 8, 14, 2, 6, 3, 3, 4, 3, 15, 3, 2]"
frustrat,"[11, 11, 7, 1, 8, 8, 7, 1, 30, 13, 2, 33, 10, 9, 48, 6, 4, 7, 10, 3, 16, 42, 17, 11, 3, 13, 1, 12, 2, 9, 3, 2, 3, 10, 30, 26, 24, 8, 2, 27]"
read,"[5, 5, 4, 5, 1, 1, 9, 69, 21, 12, 30, 7, 5, 3, 8, 3, 1, 13, 4, 1, 1, 1, 4, 6, 1, 4, 8, 3, 5, 1, 10, 7, 4, 5, 2, 13, 15, 1, 5, 4, 8, 13, 1, 12, 3, 1, 19, 1, 17, 3, 2, 11, 5, 8, 6, 5, 6, 15, 11, 15, 8, 9]"
her,"[24, 40, 5, 16, 6, 40, 40, 17, 63, 19, 42, 7, 9, 18]"
hour,"[11, 19, 1, 2, 10, 4, 2, 2, 2, 4, 4, 1, 2, 3, 2, 3, 1, 1, 1, 8, 1, 8, 4, 4, 1, 1, 4, 3, 3, 8, 1, 2, 8, 1, 3, 7, 2, 2, 1, 5, 2, 1, 3, 7, 7, 1, 1, 1, 4, 1, 8, 3, 3, 6, 14, 9, 12, 5, 10, 3, 8, 8, 1, 2, 2, 6, 6, 3, 9, 6, 3, 4, 26, 2, 2, 6, 7, 7, 8, 18, 1, 3, 6, 1, 1, 3, 1, 16, 5, 16, 16, 5, 6, 2, 15, 5, 11]"
look,"[1, 3, 2, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 5, 2, 3, 2, 1, 1, 4, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 4, 2, 2, 3, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 3, 4, 1, 2, 2, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 6, 1, 3, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1, 2, 4, 1, 4, 1, 3, 2, 2, 2, 1, 2, 3, 1, 2, 1, 3, 1, 3, 1, 2, 1, 1, 2, 2, 1, 3, 1, 1, 2, 3, 1, 1, 3, 2, 3, 5, 1, 2, 2, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 2, 2, 6, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 4, 2, 1, 1, 2, 3, 2, 2, 2, 2, 3, 3, 1, 4, 4, 1]"
stat,"[117, 21, 4, 12, 3, 8, 3, 1, 13, 4, 1, 1, 1, 6, 5, 12, 3, 4, 1, 1, 17, 3, 6, 2, 12, 3, 14, 39, 15, 1, 9, 10, 84, 30]"
yesteryear,[]
month,"[3, 7, 3, 6, 2, 1, 4, 3, 6, 2, 1, 3, 7, 1, 3, 1, 6, 1, 1, 1, 5, 1, 2, 2, 3, 1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 4, 1, 1, 2, 3, 1, 2, 1, 3, 1, 1, 5, 1, 2, 2, 1, 3, 1, 3, 2, 2, 3, 2, 2, 2, 2, 1, 2, 8, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 10, 3, 2, 2, 4, 2, 6, 1, 2, 1, 1, 2, 3, 2, 1, 7, 2, 6, 4, 1, 4, 11, 2, 4, 6, 3, 5, 5, 5, 6, 4, 2, 1, 6, 2, 2, 6, 8, 1, 1, 1, 4, 2, 2, 2, 4, 2, 1, 2, 2, 1, 1, 3, 3, 1, 1, 1, 1, 1, 2, 1, 7, 2, 9, 4, 2, 1, 6, 1, 2, 6, 4, 2, 2, 1, 15, 2, 7, 3, 9, 4, 3, 14, 6, 1, 6, 2, 5, 1]"
